hanzi,level,frequency,pinyin,meanings
的,1,1,de,of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression)
了,1,3,le,"(completed action marker); (modal particle indicating change of state, situation now)"
我,1,3,wǒ,I; me; my
是,1,4,shì,to be; correct; right; true
你,1,5,nǐ,"you (informal)"
在,1,5,zài,(of sb or sth) to be (located) at; (used before a verb to indicate an action in progress)
不,1,9,bù,no; not
有,1,9,yǒu,to have; there is
他,1,10,tā,he; him
这,1,11,zhè,this; these
这儿,1,,zhèr -,here
个,1,19,gè,(classifier used before a noun that has no specific classifier)
和,1,19,hé,and
人,1,19,rén,person; people
们,1,,men,(plural indicator for people)
我们,1,19,wǒ men,we; us
好,1,20,hǎo,good
好的,1,,hǎo de,OK (normal)
好吧,1,,hǎo ba,OK (reluctant)
好啊,1,,hǎo a,OK (enthusiastic)
你好,1,,nǐ hǎo,hello (formal)
一,1,21,yī,1; one; a
会,1,23,huì,to have the skill; to know how to; meeting; will (future tense)
都,1,25,dōu,all; both; entirely
上,1,29,shàng,up; on; above; previous; to attend (class or duty)
来,1,31,lái,to come
很,1,35,hěn,quite; very
去,1,38,qù,to go
她,1,38,tā,she
我的,1,,wǒ de,my; mine
你的,1,,nǐ de,your; yours
他的,1,,tā de,his
她的,1,,tā de,hers
想,1,44,xiǎng,to desire; to whish; to think; to believe
能,1,46,néng,can; to be able to; might possibly
那,1,48,nà,that
那儿,1,,nàr -,there
看,1,52,kàn,to see; to look at; to read; to watch
好看,1,,hǎo kàn,good looking; interesting to read
做,1,53,zuò,to make; to produce; to do
什么,1,55,shén me,what?; something; anything
点,1,58,diǎn,o'clock
没,1,63,méi, have not; not
大,1,66,dà,big; large; great; older (than another person)
下,1,70,xià,down; downwards; below; later
里,1,75,lǐ,inside; 500m
面,1,,miàn,side; surface; (measure word for flat surfaces)
里面,1,,lǐ miàn,inside
这里,1,,zhè lǐ,here
那里,1,,nà lǐ,there
哪里,1,,nǎ lǐ,where?
上面,1,,shàng miàn,on top of; over; above
下面,1,,xià miàn,under; below
现在,1,77,xiàn zài,now; at the moment; nowadays
年,1,79,nián,year
多,1,80,duō,many; much
吗,1,83,ma,(question particle for yes-no questions)
太,1,87,tài,very; too
太多,1,,tài duō,a lot; too much
太A了,1,,tài A le,very A; too much A
多大,1,,duō dà,how old?; how much?; how big?
呢,1,96,ne,What about you?; (at the end of a sentence with) continuous tense.
小,1,100,xiǎo,small; tiny; young
时候,1,107,shí hou,time; moment; period
工作,1,111,gōng zuò,to work; job; task
家,1,124,jiā,home; family
怎么,1,128,zěn me,how?; what?; why?
爱,1,130,ài,to love; to be fond of; to like
喜欢,1,139,xǐ huan,to like; to be fond of
吃,1,142,chī,to eat
谁,1,142,shéi,who
今天,1,155,jīn tiān,today
月,1,161,yuè,moon; month
几,1,178,jǐ,how much; how many; several; a few
听,1,190,tīng,to listen to; to hear
听见,1,,tīng jiàn,to hear
开,1,195,kāi,to open; to turn on (a machine); to drive (a car)
开车,1,,kāi chē,to drive a car
叫,1,200,jiào,to call; to be called; to shout
请,1,216,qǐng,to ask; to invite; please (do sth)
钱,1,218,qián,coin; money
本,1,222,běn,"(classifier for books)"
回,1,225,huí,to go back; to return
回来,1,,huí lái,to come back
回去,1,,huí qù,to go back
回家,1,,huí jiā,to go back home
东西,1,226,dōng xi,thing; stuff
三,1,233,sān,3
买,1,240,mǎi,to buy; to purchase
岁,1,266,suì,years old
朋友,1,280,péng you,friend
住,1,280,zhù,to live (somewhere)
住在,1,,zhù zài,to live in
水,1,335,shuǐ,water
写,1,352,xiě,to write
日,1,395,rì,sun; day; date; day of the month
喝,1,428,hē,to drink
学,1,,xué,to learn; to study
学校,1,430,xué xiào,school
小学,1,,xiǎo xué,primary school
中学,1,,zhōng xué,secondary school
大学,1,,dà xué,university
坐,1,435,zuò,"to sit; to take a seat; to take (a bus, an airplane, a car as a passenger)"
请坐,1,,qǐng zuò,please sit down
认识,1,463,rèn shi,to know; to recognize
分,1,372,fēn,(measure word for minutes)
分钟,1,465,fēn zhōng,minute
明天,1,469,míng tiān,tomorrow
四,1,481,sì,4
块,1,483,kuài,(classifier for money)
谢谢,1,520,xiè xie,thank you
多少,1,526,duō shao,how much?; how many?
妈妈,1,527,mā ma,mother; mom
少,1,538,shǎo,few; less
电影,1,546,diàn yǐng,movie; film
电影院,1,546,diàn yǐng yuàn,cinema
哪,1,547,nǎ,which?
哪儿,1,,nǎr -,where?
昨天,1,557,zuó tiān,yesterday
书,1,560,shū,book
五,1,563,wǔ,5
先生,1,586,xiān sheng,gentleman; sir; Mr.
医院,1,608,yī yuàn,hospital
些,1,611,xiē,some; a few; several
一些,1,,yì xiē,some; a few; several
这些,1,,zhè xiē,these
狗,1,620,gǒu,dog
学生,1,651,xué sheng,student
二,1,664,èr,2
儿子,1,665,ér zi,son
中国,1,729,Zhōng guó,China
美,1,,měi,beautiful
美国,1,,Měi guó,the US
电视,1,779,diàn shì,television; TV
下午,1,782,xià wǔ,afternoon
学习,1,789,xué xí,to learn; to study
老师,1,799,lǎo shī,teacher
六,1,802,liù,6
医生,1,827,yī shēng,doctor
住院,1,,zhù yuàn,to be hospitalized
名字,1,829,míng zi,name (of a person or thing)
十,1,865,shí,10
见,1,,jiàn,to see; to meet
看见,1,870,kàn jiàn,to see; to catch sight of
女儿,1,879,nǔ ér,daughter
说话,1,880,shuō huà,to speak; to talk
爸爸,1,908,bà ba,father; dad
字,1,913,zì,letter; character; word
漂亮,1,915,piào liang,pretty; beautiful
高兴,1,920,gāo xìng,happy; glad
热,1,938,rè,hot
睡觉,1,944,shuì jiào,to go to bed; to sleep
电脑,1,946,diàn nǎo,computer
读,1,1013,dú,to read
冷,1,1027,lěng,cold
飞机,1,1067,fēi jī,airplane
猫,1,1150,māo,cat
只,1,98,zhī,(classifier word for birds and animals)
电话,1,,diàn huà,a telephone call
打电话,1,1218,dǎ diàn huà,to make a telephone call
外面,1,,wài mian,outside
后,1,,hòu,behind; at the back; later; afterwards
后面,1,1300,hòu mian,behind; at the back; later; afterwards
后天,1,,hòu tiān,the day after tomorrow
喂,1,1301,wéi,hello (when answering the phone)
八,1,1362,bā,8
怎么样,1,1367,zěn me yàng,how?; how about?
七,1,1419,qī,7
菜,1,1448,cài,dish; vegetable; cuisine
衣服,1,1472,yī fu,clothes
小姐,1,1575,xiǎo jie,miss; (slang) prostitute
对不起,1,1577,duì bu qǐ,I'm sorry; excuse me; I beg your pardon
天气,1,1675,tiān qì,weather
前,1,,qián,before (in time); forward (in space)
前面,1,1789,qián miàn,ahead; in front
同学,1,1828,tóng xué,classmate; fellow student
茶,1,1910,chá,tea
星期,1,1956,xīng qī,week; day of the week
星期一,1,,xīng qī yī,Monday
星期二,1,,xīng qī èr,Tuesday
星期三,1,,xīng qī sān,Wednesday
星期四,1,,xīng qī sì,Thursday
星期五,1,,xīng qī wǔ,Friday
星期六,1,,xīng qī liù,Saturday
星期日,1,,xīng qī rì,Sunday
星期天,1,,xīng qī tiān,Sunday
九,1,2040,jiǔ,9
上午,1,2188,shàng wǔ,mid-morning
再见,1,2487,zài jiàn,goodbye; see you again later
苹果,1,2562,píng guǒ,apple
中午,1,2600,zhōng wǔ,noon; midday
车,1,,chē,car; wheeled vehicle
汽车,1,,qì chē,car; automobile
出租车,1,2677,chū zū chē,taxi
打车,1,,dǎ chē,to take a cab
水果,1,3271,shuǐ guǒ,fruit
商店,1,3479,shāng diàn,store; shop
书店,1,,shū diàn,book shop
没关系,1,3541,méi guān xi,it doesn't matter; don't worry about it
零,1,3623,líng,zero; nought
桌子,1,3639,zhuō zi,table; desk
椅子,1,4472,yǐ zi,chair
北京,1,4799,Běi jīng,Beijing
雨,1,,yǔ,rain
下雨,1,5648,xià yǔ,to rain
杯,1,,bēi,(measure word for cups or glasses of a liquid)
杯子,1,6162,bēi zi,cup; glass
站,1,399,zhàn,station
车站,1,7270,chē zhàn,station; stop
火车站,1,7270,huǒ chē zhàn,train station
饭,1,,fàn,meal; food; cuisine
早饭,1,,zǎo fàn,breakfast
午饭,1,,wǔ fàn,lunch
晚饭,1,,wǎn fàn,dinner; supper
米,1,663,mǐ,rice
米饭,1,10194,mǐ fàn,(cooked) rice
饭店,1,,fàn diàn,restaurant
汉语,1,13422,Hàn yǔ,Chinese language
饭馆,1,16449,fàn guǎn,restaurant
不客气,1,16723,bù kè qi,you're welcome; don't mention it
一点儿,1,,yì diǎr -,a little bit; a short while
有点儿,1,,yǒu diǎr -,(there is) a little
酷,1,,kù,cool (phonetic adaptation)
对,1,28,duì,right; correct
吃饭,1,,chī fàn,to eat a meal
什么时候,1,,shén me shí hou,when?; What time?
A的时候,1,,A de shí shou,when A
有时候,1,,yǒu shí hòu,sometimes
上个月,1,,shàng ge yuè,last month
哦,1,,ò,oh (interjection indicating that one has just learned sth)
网上,1,,wǎng shang,on the web; to surf the web
这几天,1,,zhè jǐ tiān,these days
做饭,1,,zuò fàn,to cook
学会,1,,xué huì,to have learnt (a specific ability or topic)
汉字,2,,hàn zi,Chinese characters
就,2,15,jiù,just; simply; in that case; then
要,2,19,yào,to want; to need; will; shall; should
也,2,23,yě,also; and
到,2,29,dào,to reach; to arrive
还,2,37,hái,still; yet
着,2,38,zhe,(indicates continuous tense)
给,2,46,gěi,to give
让,2,54,ràng,to let sb do sth; to have sb do sth; to make sb (feel sad etc)
吧,2,58,ba,(indicates imperative); ...right?
得,2,58,de,"(indicates adverbial phrase)"
可以,2,58,kě yǐ,can; may; able to; pretty good
从,2,70,cóng,from
真,2,76,zhēn,really; truly
两,2,81,liǎng,two
出,2,85,chū,to go out; to come out
出去,2,,chū qù,to go out; to get out.
已经,2,85,yǐ jīng,already
最,2,89,zuì,most; the most
因为,2,91,yīn wèi,because; owing to; on account of
再,2,91,zài,again; once more
次,2,99,cì,(classifier for number of times doing something)
知道,2,105,zhī dào,to know; to become aware of
问题,2,109,wèn tí,question; problem
走,2,109,zǒu,to walk; to go
走路,2,,zǒu lù,to walk
它,2,114,tā,it
但是,2,115,dàn shì,but; however
可能,2,127,kě néng,might; possible; maybe
时间,2,127,shí jiān,amount of time; period
开始,2,132,kāi shǐ,to begin; beginning
新,2,150,xīn,new; newly
找,2,152,zhǎo,to look for; to seek
快,2,153,kuài,quick; soon; almost
A比BC,2,155,A bǐ B C,A is more C than B
所以,2,157,suǒ yǐ,therefore; so
觉得,2,161,jué de,to think that ...; to feel that ...
向,2,165,xiàng,towards; to; to turn towards
一起,2,172,yī qǐ,together; with
希望,2,182,xī wàng,to hope; a hope; a wish
大家,2,189,dà jiā,everyone
非常,2,194,fēi cháng,very; really
孩子,2,207,hái zi,child
男孩,2,,nán hái,boy
女孩,2,,nǚ hái,girl
别,2,214,bié,don't...
公司,2,220,gōng sī,company; firm; corporation
第一,2,223,dì yī,first; number one
长,2,246,cháng,long
问,2,246,wèn,to ask; to inquire
告诉,2,252,gào su,to tell; to inform; to let know
事情,2,271,shì qing,affair; matter; thing; business
号,2,278,hào,ordinal number; day of a month
高,2,290,gāo,high; tall
件,2,292,jiàn,(classifier for clothes)
张,2,316,zhāng,"sheet of paper; (classifier for flat objects, sheets)"
准备,2,333,zhǔn bèi,to prepare; preparation
进,2,338,jìn,to enter; to go forward; to advance
每,2,340,měi,each; every
每天,2,,měi tiān,every day
您,2,357,nín,"you (courteous)"
送,2,370,sòng,to gift; to send; to deliver
笑,2,382,xiào,to laugh; to smile; to laugh at
女,2,,nǚ,female
女人,2,383,nǚ rén,woman
女朋友,2,,nǚ péng you,girlfriend
小时,2,389,xiǎo shí,hour
完,2,395,wán,to finish; to be over
路,2,409,lù,road; route
男,2,,nán,male
男人,2,415,nán rén,a man; a male; men
男朋友,2,,nán péng you,boyfriend
玩,2,415,wán,to play; to have fun; to participate in leisure activities
正在,2,420,zhèng zài,just at (that time); right in the middle of (doing sth)
门,2,422,mén,door; gate
穿,2,430,chuān,to wear; to put on; to dress
外,2,489,wài,outside; foreign
外国人,2,,wài guó rén,foreigner
老外,2,,lǎo wài,foreigner; non-Chinese
帮,2,,bāng,to help; to assist; to support
帮助,2,499,bāng zhù,to help; to assist; assistance; aid
早,2,,zǎo,early; morning
晚,2,,wǎn,night; late; evening
晚上,2,502,wǎn shang,evening; night
错,2,531,cuò,mistake; wrong; bad
不错,2,,bú cuò,nice; not bad
卖,2,590,mài,to sell
远,2,635,yuǎn,far; distant; remote
快乐,2,637,kuài lè,happy; joyful
懂,2,669,dǒng,to understand; to comprehend
听不懂,2,,tīng bu dǒng,unable to make sense of what one is hearing
药,2,701,yào,medicine; drug
黑,2,724,hēi,black
身体,2,731,shēn tǐ,the body; one's health
元,2,744,yuán,currency unit (esp. Chinese yuan)
介绍,2,779,jiè shào,to introduce (sb to sb); to give a presentation
红,2,794,hóng,red
欢迎,2,796,huān yíng,welcome; to welcome
眼睛,2,814,yǎn jing,eye
近,2,822,jìn,near; close to
手机,2,857,shǒu jī,mobile phone
忙,2,859,máng,busy
离,2,912,lí,to be away from
白,2,930,bái,white
去年,2,933,qù nián,last year
明年,2,,míng nián,next year
票,2,956,piào,ticket; ballot; banknote
意思,2,988,yì si,meaning; idea
早上,2,1092,zǎo shang,early morning
运动,2,1138,yùn dòng,sports; exercise; to exercise
妻子,2,1187,qī zi,wife
鱼,2,1189,yú,fish
累,2,1197,lèi,tired; weary
休息,2,1225,xiū xi,rest; to rest
洗,2,1298,xǐ,to wash; to bathe
船,2,1346,chuán,boat; ship
房间,2,1357,fáng jiān,room
丈夫,2,1376,zhàng fu,husband
上班,2,1495,shàng bān,to go to work; to start work; to be on duty
下班,2,,xià bān,to finish work; to get off work
生日,2,1506,shēng rì,birthday
姐姐,2,1513,jiě jie,older sister
课,2,1517,kè,class; lesson
哥哥,2,1655,gē ge,older brother
咖啡,2,1698,kā fēi,coffee (loanword)
咖啡店,2,,kā fēi diàn,coffe shop; café
咖啡馆,2,,kā fēi guǎn,café; coffee shop
考试,2,1718,kǎo shì,exam; to take an exam
千,2,1728,qiān,thousand
慢,2,1770,màn,slow
旁边,2,1815,páng biān,beside; side; nearby
颜色,2,1880,yán sè,color
雪,2,1971,xuě,snow
下雪,2,,xià xuě,to snow
妹妹,2,2093,mèi mei,younger sister
报纸,2,2232,bào zhǐ,newspaper
贵,2,2239,guì,expensive
机场,2,2308,jī chǎng,airport; airfield
踢,2,2330,tī,to kick; to play soccer
足球,2,,zú qiú,soccer ball; soccer
踢足球,2,,tī zú qiú,to play soccer
弟弟,2,2424,dì di,younger brother
百,2,2455,bǎi,hundred
好吃,2,2484,hǎo chī,tasty (of food); delicious (of food)
好喝,2,,hǎo hē,tasty (of a drink); delicious (of a drink)
旅游,2,2534,lǚ yóu,trip; journey; to travel
旅行,2,,lǚ xíng,trip; journey; to travel
起床,2,2645,qǐ chuáng,to get up; to get out of bed
题,2,2690,tí,exam question; problem for discussion
便宜,2,2814,pián yi,cheap; inexpensive
唱歌,2,2876,chàng gē,to sing a song
右边,2,2906,yòu bian,"right side; right, to the right"
牛,2,,niú,cow; bull; ox
牛奶,2,2986,niú nǎi,cow milk
自行车,2,3400,zì xíng chē,bicycle; bike
鸡,2,,jī,chicken
鸡蛋,2,3501,jī dàn,(chicken) egg
姓,2,3576,xìng,surname; to be surnamed
游泳,2,3695,yóu yǒng,swimming; to swim
跳舞,2,3920,tiào wǔ,to dance
阴,2,4058,yīn,cloudy; shady; overcast (weather); Yin (as in Yin and Yang)
生病,2,4336,shēng bìng,to fall ill
左边,2,4584,zuǒ bian,left; the left side; to the left of
公斤,2,4784,gōng jīn,kilogram
教室,2,5082,jiào shì,classroom (the actual room)
服务员,2,5531,fú wù yuán,waiter; waitress; attendant
手表,2,6179,shǒu biǎo,wristwatch
跑步,2,7199,pǎo bù,to run; to jog
西瓜,2,9098,xī guā,watermelon
晴,2,9343,qíng,clear; fine (weather)
羊,2,,yáng,sheep; goat
肉,2,,ròu,meat; flesh
牛肉,2,,niú ròu,beef
羊肉,2,11336,yáng ròu,mutton; goat meat
鸡肉,2,,jī ròu,chicken meat
公共汽车,2,13591,gōng gòng qì chē,bus
打,2,,dǎ,to beat; to strike; to hit
打球,2,,dǎ qiú,to play a ball game
篮球,2,,lán qiú,basketball (the ball); basketball (the game)
打篮球,2,1000000,dǎ lán qiú,to play basketball
过,2,,guo,(verb suffix indicating past tense)
都A了,2,,dōu A le,already A
一下,2,,yí xià,"(after a verb, indicates a simple task, a small time)"
宾馆,2,4994,bīn guǎn,hotel; lodge; guesthouse
往,2,760,wǎng,to; towards
病人,2,,bìng rén,patient; sick person
等,2,83,děng,to wait for; to await
听说,2,,tīng shuō,to hear of; to hear about
茶馆,2,,chá guǎn,tea house
对,2,,duì,for (preposition)
回国,2,,huí guó,to go back to one's country
啊,3,47,a,"(interjection showing surprise); (modal particle showing enthusiasm)"
把,3,50,bà,"handle; to hold; to grasp; (classifier: handful, bundle, bunch); classifier for things with handles"
被,3,54,bèi,quilt; to cover (with); (indicator of passive voice)
自己,3,56,zì jǐ,oneself; one's own
用,3,79,yòng,to use; to employ; to have to
如果,3,89,rú guǒ,if; in case; in the event that
又,3,91,yòu,"once again (past tense, compare 再); also"
又A又B,3,91,yòu A yòu B,both A and B
只,3,98,zhǐ,only; merely; just
更,3,127,gèng,more; even more
需要,3,131,xū yào,to need; to want; to demand; to require
地,3,132,dì,earth; ground; place; land
A地V,3,132,A de V,A-ly V; (indicates A is an adverb affecting the verb V)
才,3,133,cái,(before a quantity) only
只有A才B,3,,zhǐ yǒu A cái B,only if A then B
跟,3,135,gēn,to; towards; with
像,3,151,xiàng,to resemble; to be like; appearance; image
还是,3,160,hái shi,still (as before); or
认为,3,168,rèn wéi,to believe; to think; to consider; to feel
应该,3,174,yīng gāi,ought to; should; must
带,3,177,dài,to bring; to carry
位,3,177,wèi,"(honorific measure word for people, used to show respect)"
种,3,179,zhǒng,"kind; type; (classifier for types, kinds, sorts)"
发现,3,189,fā xiàn,to discover; to notice; to become aware of; a discovery
一定,3,198,yī dìng,surely; certainly;must
一直,3,203,yī zhí,straight (direction); continuously; always; all the way through
为了,3,229,wèi le,for the purpose of; in order to; so as to
一样,3,235,yī yàng,the same as; like; equal to
A像B一样,3,,A xiàng B yī yàng,A is like B
世界,3,238,shì jiè,world
世界杯,3,238,shì jiè bēi,World Cup
而且,3,239,ér qiě,(not only ...) but also; moreover; in addition; furthermore
重要,3,240,zhòng yào,important; significant; major
必须,3,241,bì xū,to have to; must; compulsory; necessarily
地方,3,254,dì fang,place; area; region
老,3,266,lǎo,old (of people); venerable (person); of the past
其他,3,267,qí tā,other; (sth or sb) else; the rest
比赛,3,275,bǐ sài,competition (sports etc); match; to compete
然后,3,275,rán hòu,then; after that; afterwards
担心,3,277,dān xīn,to worry; to be anxious; anxious; worried
条,3,277,tiáo,"(classifier for long thin things: ribbon, river, road, trousers, etc.); strip"
放,3,280,fàng,to put; to place
拿,3,287,ná,to take; to hold; to catch
拿A来说,3,,ná A lái shuō,take A as an example
为什么,3,299,wèi shén me,why?; for what reason?
先,3,306,xiān,first; prior; former
关系,3,318,guān xi,relationship; relation
出现,3,323,chū xiàn,to appear; to arise; to show up; to emerge
了解,3,336,liǎo jiě,to understand; to realize; to find out
过去,3,353,guò qu,(in the) past; former; previous
过去,3,353,guò qù,to go over; to pass by
参加,3,355,cān jiā,to participate; to take part; to join
国家,3,356,guó jiā,country; nation; state
国外,3,,guó wài,abroad
决定,3,366,jué dìng,to decide (to do something); to resolve; decision
分,3,372,fēn,0.01 yuan (unit of money)
选择,3,373,xuǎn zé,to select; to pick; choice; option
或者,3,382,huò zhě,or; possibly; perhaps
机会,3,393,jī huì,opportunity; chance; occasion
别人,3,397,bié ren,other people; others; other person
站,3,399,zhàn,to stand; to halt; to stop
使,3,400,shǐ,to cause; to enable; to use; to employ
使,3,400,shǐ,to instruct sb to do sth
使,3,400,shǐ,envoy; messenger
其实,3,405,qí shí,actually; in fact; really
以后,3,407,yǐ hòu,after; later; afterwards
要求,3,409,yāo qiú,to request; to require; requirement
信,3,419,xìn,letter; mail; to trust; trust
当然,3,423,dāng rán,certainly; of course; without doubt
接,3,425,jiē,to receive
接,3,425,jiē,to answer (the phone)
接,3,425,jiē,to meet or welcome sb
接,3,425,jiē,to connect
接,3,425,jiē,to catch
接,3,425,jiē,to join
接,3,425,jiē,to extend
接,3,425,jiē,to take one's turn on duty
接,3,425,jiē,to take over for sb
相信,3,431,xiāng xìn,to be convinced (that sth is true); to believe; to accept sth as true
花,3,435,huā,flower; blossom
虽然,3,440,suī rán,although; even though
解决,3,458,jiě jué,to solve; to resolve; to settle (a problem)
关于,3,478,guān yú,pertaining to; concerning; with regard to
完成,3,486,wán chéng,to complete; to accomplish
结束,3,498,jié shù,to end; to conclude; termination
努力,3,505,nǔ lì,to make an effort; to try hard; hard-working; conscientious
以前,3,524,yǐ qián,before; formerly; previous
办法,3,538,bàn fǎ,means; method; way (of doing sth)
特别,3,541,tè bié,very; especially; particularly
难,3,544,nán,difficult; difficulty; problem; not good
注意,3,547,zhù yì,to take note of; to pay attention to
讲,3,555,jiǎng,to speak; to explain; speech; lecture
离开,3,557,lí kāi,to depart; to leave
万,3,557,wàn,ten thousand; a great number
以为,3,567,yǐ wéi,to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.)
越,3,574,yuè,to exceed; to surpass
越A越B,3,574,yuè A yuè B,"the more A, the more B"
越来越A,3,,yuè lái yuè A,more and more;A is increasing over time
城市,3,593,chéng shì,city; town
影响,3,598,yǐng xiǎng,influence; impact; to influence; to affect
游戏,3,603,yóu xì,game; to play
马,3,605,mǎ,horse
比较,3,607,bǐ jiào,to compare; to contrast; comparatively; relatively
最近,3,612,zuì jìn,recently; soon
换,3,618,huàn,"to change (clothes, etc.); to exchange; to substitute"
终于,3,625,zhōng yú,at last; in the end; finally; eventually
脸,3,629,liǎn,face
口,3,637,kǒu,"mouth; (classifier for things with mouths: people, domestic animals, cannons, wells, etc.); (classifier for bites or mouthfuls)"
除了,3,638,chú le,besides; in addition to; except (for)
除了A还B,3,638,chú le A hái B,"apart from A, also B"
总是,3,638,zǒng shì,always
双,3,642,shuāng,pair; (measure word for pairs)
突然,3,644,tū rán,sudden; abrupt; unexpected
段,3,647,duàn,"(classifier for stories, periods of time, lengths of thread etc)"
检查,3,659,jiǎn chá,to inspect; to examine; inspection
米,3,663,mǐ,meter (classifier)
容易,3,664,róng yì,easy; straightforward
明白,3,676,míng bai,to understand; to realize; clear; obvious
根据,3,694,gēn jù,according to; based on; basis; foundation
记得,3,699,jì de,to remember
辆,3,699,liàng,classifier for vehicles
简单,3,726,jiǎn dān,simple; not complicated
半,3,727,bàn,half
愿意,3,738,yuàn yì,willing (to do sth); ready
音乐,3,742,yīn yuè,music
包,3,755,bāo,bag; wrapper; to cover; to wrap
书包,3,,shū bāo,backpack
楼,3,765,lóu,floor; storied building
清楚,3,766,qīng chu,clear; distinct; to understand thoroughly; to be clear about
照片,3,766,zhào piàn,photograph; picture
银行,3,769,yín háng,bank
故事,3,772,gù shi,story; tale
一般,3,798,yī bān,usually; generally; ordinary; common; so-so
可爱,3,799,kě ài,adorable; cute; lovely
新闻,3,805,xīn wén,news
声音,3,841,shēng yīn,voice; sound
马上,3,847,mǎ shàng,right away; immediately; on horseback (i.e. by military force)
表示,3,854,biǎo shì,to express; to show; to state; to mean
经过,3,867,jīng guò,to pass; to go through
历史,3,882,lì shǐ,history
哭,3,898,kū,to cry; to weep
敢,3,902,gǎn,to dare; daring
会议,3,928,huì yì,meeting; conference
经常,3,940,jīng cháng,frequently; constantly; regularly; often
常常,2,,cháng cháng,frequently; usually; often
低,3,951,dī,low; beneath; to lower (one's head)
节目,3,951,jié mù,program
健康,3,952,jiàn kāng,health; healthy
作用,3,955,zuò yòng,to act on; to affect; action; effect
西,3,958,xī,west; the West
差,3,968,chà,to lack; to fall short
结婚,3,982,jié hūn,to marry; to get married
短,3,983,duǎn,short (in length); brief
同意,3,985,tóng yì,to agree; to consent; to approve
教,3,988,jiāo,to teach; teaching
几乎,3,1001,jī hū,almost; nearly; practically
附近,3,1020,fù jìn,nearby; neighboring; neighborhood
认真,3,1020,rèn zhēn,conscientious; earnest; serious
脚,3,1024,jiǎo,foot
主要,3,1031,zhǔ yào,main; primary; principal
遇到,3,1063,yù dào,to meet; to run into; to come across
年轻,3,1100,nián qīng,young
久,3,1103,jiǔ,(long) time; (long) duration of time
画,3,1119,huà,to draw; to paint; picture; painting
画家,3,,huà jiā,painter
表演,3,1127,biǎo yǎn,play; performance; to act; to perform
关,3,1129,guān,to close; to shut; to turn off
刚才,3,1149,gāng cái,just now; a moment ago
办公室,3,1162,bàn gōng shì,office; bureau
环境,3,1171,huán jìng,environment; circumstances; surroundings; ambient
关心,3,1190,guān xīn,to be concerned about; to care about
祝,3,1197,zhù,"to wish (sb bon voyage, happy birthday etc); to pray for"
层,3,1202,céng,to pile on top of one another; layer; stratum; (classifier for layers)
腿,3,1216,tuǐ,leg
班,3,1238,bān,class; team; squad; work shift
坏,3,1239,huài,bad; spoiled; broken; to break down
一边,3,1241,yī biān,one side; either side
一边A一边B,3,1241,yī biān A yī biān B,"on one hand A, on the other hand B"
鞋,3,1249,xié,shoe
鞋子,3,,xié zi,shoe
习惯,3,1251,xí guàn,to be used to; habit; custom
变化,3,1262,biàn huà,change; variation; to change; to vary
周末,3,1269,zhōu mò,weekend
忘记,3,1335,wàng jì,to forget
打算,3,1374,dǎ suàn,to plan; to intend; plan; intention
极,3,1404,jí,extremely; utmost
小心,3,1411,xiǎo xīn,to be careful; to take care
举行,3,1431,jǔ xíng,"to hold (a meeting, ceremony etc)"
动物,3,1438,dòng wù,animal
饿,3,1477,è,to be hungry
树,3,1481,shù,tree; to cultivate; to set up
水平,3,1490,shuǐ píng,standard; level (of achievement)
借,3,1495,jiè,to lend; to borrow
东,3,1509,dōng,east
头,3,,tóu,head
头发,3,1533,tóu fa,hair (on the head)
害怕,3,1536,hài pà,to be scared; to be afraid
鸟,3,1593,niǎo,bird
蓝,3,1615,lán,blue
照顾,3,1631,zhào gu,to look after; to take care of; to attend to; to show consideration
文化,3,1632,wén huà,culture; civilization; cultural
疼,3,1641,téng,(it) hurts; sore
奇怪,3,1655,qí guài,strange; odd; to marvel; to be baffled
礼物,3,1673,lǐ wù,gift; present
南,3,1709,nán,south
提高,3,1724,tí gāo,to raise; to increase; to improve
满意,3,1761,mǎn yì,pleased; satisfied; to one's satisfaction
旧,3,1787,jiù,old; worn (with age)
司机,3,1804,sī jī,chauffeur; driver
黄,3,1809,huáng,yellow; pornographic; to fall through
经理,3,1838,jīng lǐ,manager; director
兴趣,3,1847,xìng qù,interest (desire to know about sth); interest (thing in which one is interested); hobby
帮忙,3,1860,bāng máng,to help; to lend a hand; to do a favor
电子,3,1874,diàn zǐ,electronic
见面,3,1876,jiàn miàn,to meet; to see each other
成绩,3,1888,chéng jì,achievement; grades
中间,3,1889,zhōng jiān,in the middle; between; during; in the meantime
聪明,3,1918,cōng ming,intelligent; clever; smart
多么,3,1940,duō me,how (wonderful)!; what (a great idea)!; how (much)?; to what extent?
灯,3,2001,dēng,light; lamp
太阳,3,2001,tài yang,sun
方便,3,2014,fāng biàn,convenient; suitable; to facilitate; to make things easy
糖,3,2036,táng,sugar; sweets; candy
相同,3,2110,xiāng tóng,identical; same
生气,3,2113,shēng qì,to get angry; to take offense; angry; vitality
公园,3,2134,gōng yuán,park (for public recreation)
热情,3,2149,rè qíng,passion; passionate; cordial; enthusiastic
一会儿,3,2207,yī huìr -,a moment; a while; in a moment
骑,3,2231,qí,"to ride (a horse, bike etc)"
河,3,2245,hé,river
搬,3,2254,bān,to move (to a new residence); to move (something heavy or bulky)
